code,name_ru,name_en
AUS,Австралия,Australia
AUT,Австрия,Austria
AZE,Азербайджан,Azerbaijan
ALA,Аландские Острова,Aland Islands
ALB,Албания,Albania
DZA,Алжир,Algeria
ASM,Американское Самоа,American Samoa
AIA,Ангилья (Брит.),Anguilla
AGO,Ангола,Angola
AND,Андорра,Andorra
ATG,Антигуа И Барбуда,Antigua and Barbuda
ARG,Аргентина,Argentina
ARM,Армения,Armenia
AFG,Афганистан,Afghanistan
BHS,Багамы,Bahamas
BGD,Бангладеш,Bangladesh
BRB,Барбадос,Barbados
BHR,Бахрейн,Bahrain
BLR,Беларусь,Belarus
BLZ,Белиз,Belize
BEL,Бельгия,Belgium
BEN,Бенин,Benin
BMU,Бермуды,Bermuda
BGR,Болгария,Bulgaria
BOL,Боливия,Bolivia
BIH,Босния И Герцеговина,Bosnia and Herzegovina
BWA,Ботсвана,Botswana
BRA,Бразилия,Brazil
IOT,Британская Территория В Индийском Океане,British Indian Ocean Territory
BRN,Бруней-Даруссалам,Brunei Darussalam
BFA,Буркина-Фасо,Burkina Faso
BDI,Бурунди,Burundi
BTN,Бутан,Bhutan
VAT,"Ватикан, Государство-Город",Holy See
HUN,Венгрия,Hungary
VEN,Венесуэла,Venezuela
VGB,Виргинские Острова (Брит.),British Virgin Islands
VIR,"Виргинские Острова, Сша",US Virgin Islands
VNM,Вьетнам,Viet Nam
GAB,Габон,Gabon
HTI,Гаити,Haiti
GUY,Гайана,Guyana
GMB,Гамбия,Gambia
GHA,Гана,Ghana
GLP,Гваделупа,Guadeloupe
GTM,Гватемала,Guatemala
GIN,Гвинея,Guinea
DEU,Германия,Germany
GGY,Гернси,Guernsey
GIB,Гибралтар (Брит.),Gibraltar
HND,Гондурас,Honduras
HKG,Гонконг,Hong Kong SAR
GRD,Гренада,Grenada
GRL,Гренландия,Greenland
GRC,Греция,Greece
GEO,Грузия,Georgia
GUM,Гуам (Сша),Guam
DNK,Дания,Denmark
COD,Демократическая Республика Конго,Congo DR
JEY,Джерси,Jersey
DJI,Джибути,Djibouti
DMA,Доминика,Dominica
DOM,Доминиканская Республика,Dominican Republic
EGY,Египет,Egypt
ZMB,Замбия,Zambia
ESH,Западная Сахара,Western Sahara
ZWE,Зимбабве,Zimbabwe
ISR,Израиль,Israel
IND,Индия,India
IDN,Индонезия,Indonesia
JOR,Иордания,Jordan
IRQ,"Ирак, Республика Ирак",Iraq
IRN,"Иран, Исламская Республика",Iran
IRL,Ирландия,Ireland
ISL,Исландия,Iceland
ESP,Испания,Spain
ITA,Италия,Italy
YEM,Йемен,Yemen
