code,name_ru,match
A,"Сельское, лесное и рыбное хозяйство",^сельское
IND,Промышленность,^промышленность$
B,Горнодобывающая промышленность и разработка карьеров,^горнодобывающая
C,Обрабатывающая промышленность,^обрабатывающая
D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",^(снабжение электроэнергией|электроснабжение)
E,"Водоснабжение; канализационная система, контроль над сбором и распределением отходов",^водоснабжение
F,Строительство,^строительство
G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,^оптовая и розничн
H,Транспорт и складирование,^транспорт
COMMUNICATIONS,Связь,^связь$
TOTAL,Краткосрочный экономический индикатор,^индекс краткосрочного экономического индикатора
